Value,Canonical
badlapur,Out of Mumbai
chembur,Mumbai
chennai,Out of Mumbai
chiplun,Out of Mumbai
diva,Out of Mumbai
gujarat,Out of Mumbai
kalyan,Out of Mumbai
kolhapur,Out of Mumbai
kurla,Mumbai
maharashtra,
mhmbai,Mumbai
mumabi,Mumbai
mumbai,Mumbai
mumbai 08,Mumbai
mumbai 61,Mumbai
mumbai city,Mumbai
mumbai sub,Mumbai Suburban
mumbai subarbun,Mumbai Suburban
mumbai suburb,Mumbai Suburban
mumbai suburban,Mumbai Suburban
mumbai suburbs,Mumbai Suburban
n.a,
navi mumbai,Out of Mumbai
not known,
not known by the patient,
other,Out of Mumbai
outsaid mumbai,Out of Mumbai
outside,Out of Mumbai
outside mumbai,Out of Mumbai
outsidemumbai,Out of Mumbai
p-north,Mumbai
palghar mumbai,Out of Mumbai
sindhudurg,Out of Mumbai
thane,Out of Mumbai
thane district,Out of Mumbai
uttarpradesh,Out of Mumbai
vasai,Out of Mumbai
virar,Out of Mumbai